codArt;nomArt;alto_cm;ancho_cm;largo _cm;Peso_kg;Ubicación
VT0095;CISATRACURIO 10MG/5ML (2MG/ML) SOLUCION INYECTABLE;9,00;9,00;19,4;110,00;Cadena de Frio
SP0018;HIALURONATO DE SODIO 16MG/ML (0,15%) SOLUCION INTRAOCULAR;9,00;9,00;20,10;43,00;Cadena de Frio
EC0064;POLIETILENGLICOL 3350 17G POLVO A SOLUCION ORAL;8,00;9,00;10,5;301,00;Carga Seca
PX0220;NISTATINA + METRONIDAZOL 100.000UI+500MG OVULO VAGINAL;7,00;9,00;3,5;30,00;Carga Seca
SG0115;FENOFIBRATO 200MG CAPSULA;7,00;9,00;11,00;87,00;Carga Seca
PX0117;TRIMEBUTINA + SIMETICONA 200MG+120MG TABLETA RECUBIERTA;7,00;9,00;4,00;43,00;Carga Seca
RC0059;MICOFENOLATO 250MG CAPSULA;6,50;9,00;12,00;98,00;Comerciales
BE0002;URSODESOXICOLICO ACIDO 300MG CAPSULA;6,5;9,00;1,5;11,00;Carga Seca
RM0169;CICLOSPORINA 100MG CAPSULA BLANDA;5,5;9,00;18,00;124,00;Comerciales
PFM013;MEDROXIPROGESTERONA 150MG/ML SUSPENSION INYECTABLE;4,00;9,00;9,00;171,00;Comerciales
LQ0141;SERTRALINA 50MG TABLETA RECUBIERTA;3,5;9,00;12,2;82,00;Carga Seca
CR0044;AGUA ESTERIL X 500ML SOLUCION INYECTABLE;25,5;9,00;4,00;539,00;Carga Seca
RC0052;DORNASE ALFA 2,5MG/2,5ML SOLUCION PARA INHALACION;2,20;9,00;15,50;51,00;Cadena de Frio
SG0087;ACETAMINOFEN + CAFEINA 500MG+50MG TABLETA;11,00;9,00;7,2;112,00;Carga Seca
GL0142;UMECLIDINIO 62,5MCG/DOSIS POLVO PARA INHALACION;10,50;9,00;4,50;107,00;Comerciales
EC0043;TIAMINA 300MG TABLETA;10,5;9,00;16,00;460,00;Carga Seca
NV0064;LOSARTAN 100MG TABLETA RECUBIERTA;10,5;9,00;9,00;156,00;Carga Seca
AT0071;METFORMINA + DAPAGLIFLOZINA 1.000MG+5MG TABLETA;10,00;9,00;15,00;163,00;Comerciales
OP0001;DIFENHIDRAMINA 50MG CAPSULA;6,50;8,70;19,00;180,00;Carga Seca
SZ0054;RITUXIMAB 100MG/10ML (10MG/ML) SOLUCION CONCENTRADA PARA INFUSION;3,20;8,70;9,00;76,00;Cadena de Frio
LS0175;ASCORBICO ACIDO (VIT C) 500MG TABLETA MASTICABLE;20,50;8,70;26,20;1.103,00;Carga Seca
LF0257;PENTOSAN POLISULFATO SODICO 100MG CAPSULA;10,50;8,70;12,40;88,00;Comerciales
LQ0065;PSYLLIUM SEMILLA 85,92G/100G POLVO A SOLUCION ORAL;9,5;8,7;12,00;283,00;Carga Seca
LQ0200;SUCRALFATO 1G TABLETA MASTICABLE;6,00;8,7;15,2;403,00;Carga Seca
NO0066;CICLOSPORINA 100MG/ML EMULSION ORAL;4,5;8,7;15;189,00;Comerciales
AN0032;TEOFILINA 125MG CAPSULA DE LIBERACION PROLONGADA;6,50;8,60;18,20;149,00;Carga Seca
SA0174;INSULINA GLARGINA 300UI/3ML (100UI/ML) SOLUCION INYECTABLE;2,50;8,60;17,10;152,00;Cadena de Frio
NV0039;NIFEDIPINO 30MG CAPSULA DE LIBERACION PROLONGADA;9,00;8,50;15;157,00;Carga Seca
BX0256;PROPOFOL 200MG/20ML (10MG/ML) (1%) EMULSION INYECTABLE;7,50;8,50;19,00;572,00;Carga Seca
MK0021;AMPICILINA 1G TABLETA;6,00;8,50;27,00;213,00;Carga Seca
SA0138;COLAGENO HIDROLIZADO (100%) POLVO A SOLUCION ORAL;15,00;8,50;15,60;393,00;Carga Seca
LP0142;MEMANTINA 10MG TABLETA RECUBIERTA;1,00;8,50;8,50;166,00;Comerciales
GPC005;FOSFOMICINA DISODICA 4G POLVO A SOLUCION INYECTABLE;7,60;8,5;20,00;472,00;Comerciales
PX0116;RIFAXIMINA 200MG CAPSULA BLANDA;7,00;8,5;3,8;24,00;Carga Seca
GF0439;NAPROXENO 500MG TABLETA;6,5;8,5;19,5;284,00;Carga Seca
LQ0017;CEFRADINA 500MG TABLETA;6,5;8,5;15,3;264,00;Carga Seca
BU0063;FEBUXOSTAT 80MG TABLETA RECUBIERTA;6,5;8,5;3,5;31,00;Carga Seca
LQ0015;CEFALEXINA 500MG TABLETA;6,5;8,5;17;253,00;Carga Seca
LQ0113;NORFLOXACINO 400MG TABLETA RECUBIERTA;6,5;8,5;15,00;282,00;Carga Seca
BU0044;DULOXETINA 30MG CAPSULA DE LIBERACION RETARDADA;6,5;8,5;2,00;19,00;Carga Seca
QD0009;LISADO BACTERIANO LIOFILIZADO 3,5MG POLVO A SOLUCION ORAL;5,5;8,5;4,00;30,00;Comerciales
CO0002;CALCITRIOL 0,25MCG CAPSULA BLANDA;5,2;8,5;3,2;20,00;Carga Seca
CO0016;CALCITRIOL 0,5MCG CAPSULA BLANDA;5,2;8,5;3,00;19,00;Carga Seca
CO0005;GINKGO BILOBA 40MG CAPSULA BLANDA;5,2;8,5;2,00;12,00;Carga Seca
PX0183;COLECALCIFEROL (VITAMINA D3) 7.000UI CAPSULA BLANDA;5,2;8,5;1,8;7,00;Carga Seca
PX0086;RETINOL (VITAMINA A) 50.000UI CAPSULA BLANDA;5,00;8,5;4,5;27,00;Carga Seca
GF0282;CIPROFIBRATO 100MG TABLETA;4,00;8,5;2,00;10,00;Carga Seca
GF0104;FLUNARIZINA 10MG TABLETA;4,00;8,5;2,00;12,00;Carga Seca
GF0304;SERTRALINA 100MG TABLETA RECUBIERTA;4,00;8,5;2,00;7,00;Carga Seca
GF0075;DEFLAZACORT 6MG TABLETA;4,00;8,5;2,00;6,00;Carga Seca
GF0423;TAMSULOSINA 0,4MG CAPSULA DE LIBERACION PROLONGADA;25,00;8,5;3,5;25,00;Carga Seca
SA0167;ENOXAPARINA 20MG/0,2ML SOLUCION INYECTABLE;16,5;8,5;4,00;191,00;Carga Seca
EC0115;FEXOFENADINA 120MG TABLETA RECUBIERTA;10,00;8,5;16,2;359,00;Carga Seca
EC0072;METRONIDAZOL 500MG TABLETA;10,00;8,5;16;386,00;Carga Seca
MK0283;VERAPAMILO 80MG TABLETA RECUBIERTA;10,00;8,5;8,5;118,00;Carga Seca
EC0037;ANTIBACTERIAL GEL TOPICO;17;8,5;8,5;471;Carga Seca
NV0063;FLUOXETINA 20MG CAPSULA;8,50;8,30;6,50;70,00;Carga Seca
GF0330;CEFALEXINA 500MG CAPSULA;6,5;8,3;23;281,00;Carga Seca
GF0161;OMEPRAZOL 20MG CAPSULA;6,5;8,3;2,00;10,00;Carga Seca
GF0088;DILTIAZEM 60MG TABLETA;4,00;8,3;2,00;10,00;Carga Seca
GF0322;SILDENAFIL 50MG TABLETA RECUBIERTA;3,8;8,3;2,00;5,00;Carga Seca
TE0156;MEMANTINA 10MG TABLETA RECUBIERTA;9,60;8,20;8,50;146,00;Carga Seca
TE0153;CILOSTAZOL 100MG TABLETA;9,60;8,20;8,40;157,00;Carga Seca
GF0043;CANDESARTAN 8MG TABLETA;2,00;8,20;8,4;3,70;Carga Seca
SG0084;N-ACETILCISTEINA 600MG TABLETA EFERVESCENTE;7,5;8,2;12,8;129,00;Carga Seca
GF0344;VALSARTAN + HIDROCLOROTIAZIDA 160MG+12,5MG TABLETA RECUBIERTA;4,00;8,2;2,00;13,00;Carga Seca
GF0103;FLUCONAZOL 200MG CAPSULA DURA;4,00;8,2;2,00;8,00;Carga Seca
GF0093;DOMPERIDONA 10MG TABLETA;4,00;8,2;2,00;9,00;Carga Seca
LQ0061;FLUCONAZOL 200MG CAPSULA;3,2;8,2;21,00;119,00;Carga Seca
NV0047;ACETAMINOFEN 500MG TABLETA;12,5;8,2;29,8;725,00;Carga Seca
EC0048;DIPIRONA 500MG TABLETA;10,00;8,2;17,00;459,00;Carga Seca
CR0051;SODIO CLORURO 20MEQ/10ML (2MEQ/ML) SOLUCION INYECTABLE;9,5;8,00;20,00;715,00;Carga Seca
MK0258;LOSARTAN 50MG TABLETA RECUBIERTA;9,00;8,00;5,00;57,00;Carga Seca
PAM005;SEVELAMER 800MG TABLETA;9,00;8,00;17,00;155,00;Comerciales
CR0049;CLINDAMICINA 600MG/4ML (150MG/ML) SOLUCION INYECTABLE;8,30;8,00;23,20;760,00;Carga Seca
MK0315;PREDNISOLONA 5MG TABLETA;8,00;8,00;7,7;81,00;Carga Seca
TE0147;CLONAZEPAM 2MG TABLETA;8,00;8,00;7,5;102,00;Controlados
LF0040;ETANERCEPT 25MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;8,00;8,00;19,6;108,00;Cadena de Frio
RY0030;AMIODARONA 150MG/3ML (50MG/ML) SOLUCION INYECTABLE;8,00;8,00;8,00;164,00;Carga Seca
VP0020;LABETALOL 100MG/20ML (5MG/ML) SOLUCION INYECTABLE;7,5;8,00;8,00;172,00;Carga Seca
LQ0125;AMLODIPINO 10MG TABLETA RECUBIERTA;7,00;8,00;22,5;295,00;Carga Seca
NV0004;AMANTADINA 100MG CAPSULA;6,50;8,00;24,50;146,00;Carga Seca
NV0062;NIFEDIPINO 30MG CAPSULA DE LIBERACION PROLONGADA;6,50;8,00;16,00;147,00;Carga Seca
NV0026;VALPROICO ACIDO 250MG CAPSULA;6,5;8,00;27,00;283,00;Carga Seca
GF0212;SULFAMETOXAZOL + TRIMETOPRIM 800MG+160MG TABLETA;6,5;8,00;10,00;147,00;Carga Seca
MK0286;FLUNARIZINA 10MG TABLETA;6,40;8,00;9,00;96,00;Carga Seca
TE0098;MEFENAMICO ACIDO 500MG TABLETA RECUBIERTA;6,30;8,00;9,00;107,00;Carga Seca
AST005;TACROLIMUS XL 0,5MG CAPSULA DE LIBERACION PROLONGADA;6,00;8,00;15,00;82,00;Comerciales
BE0010;TIZANIDINA 2MG TABLETA;4,00;8,00;1,5;9,00;Carga Seca
SG0102;METRONIDAZOL + CLOTRIMAZOL 500MG+100MG TABLETA VAGINAL;3,8;8,00;11,2;42,00;Carga Seca
MK0063;DICLOXACILINA 500MG CAPSULA;3,50;8,00;27,10;78,00;Carga Seca
LQ0088;ATORVASTATINA 10MG TABLETA;3,5;8,00;12,7;70,00;Carga Seca
LQ0197;LORATADINA 10MG TABLETA;3,5;8,00;11,2;75,00;Carga Seca
LQ0023;KETOTIFENO 1MG TABLETA;3,4;8,00;11,00;64,00;Carga Seca
EC0024;YODOPOVIDONA 10G/100ML (10%) SOLUCION TOPICA;27,00;8,00;19,5;3,870,00;Carga Seca
BDR001;DUCHA PIEL SENSIBLE NORMAL GEL TOPICO;22,50;8,00;11,00;1.075,00;Comerciales
PX0185;SUPLEMENTO DIETARIO SOBRE X 10,5G POLVO A SOLUCION ORAL;16,10;8,00;15,10;408,00;Carga Seca
NV0025;OMEPRAZOL 20MG CAPSULA;15,20;8,00;16,50;316,00;Carga Seca
MK0115;MINOXIDIL 2G/100ML (2%) SOLUCION TOPICA;15,00;8,00;4,5;94,00;Carga Seca
CR0041;METRONIDAZOL 500MG/100ML (5MG/ML) SOLUCION INYECTABLE;14,00;8,00;2,00;125,00;Carga Seca
NEX012;ALFA-CETOANÁLOGOS DE ANIMOACIDOS 630MG TABLETA;14,00;8,00;8,00;171,00;Comerciales
BU0006;GLICERINA 2,38960G SUPOSITORIO;13,00;8,00;8,00;205,00;Carga Seca
LF0246;ACETAMINOFEN + HIDROCODONA 325MG+5MG TABLETA RECUBIERTA;11,00;8,00;16,00;130,00;Carga Seca
BP0092;MESALAZINA 2.000MG GRANULADO DE LIBERACION PROLONGADA A SOLUCION ORAL;10,50;8,00;8,00;100,00;Comerciales
BP0066;MESALAZINA 1.000MG GRANULADO DE LIBERACION PROLONGADA A SOLUCION ORAL;10,5;8,00;8,00;94,00;Comerciales
CO0039;QUETIAPINA 25MG TABLETA;10,00;8,00;10,00;150,00;Carga Seca
EC0060;TINIDAZOL 500MG TABLETA;10,00;8,00;23,5;562,00;Carga Seca
PF0127;PIPERACILINA + TAZOBACTAM 4G+0,5G POLVO LIOFILIZADO A SOLUCION INYECTABLE;10,00;8,00;23,00;701,00;Comerciales
PX0330;AMLODIPINO 5MG TABLETA;10,00;8,00;4,40;62,00;Carga Seca
SVP006;ABACAVIR 20MG/ML SOLUCION ORAL;3,50;7,80;7,80;333,00;Carga Seca
CS0011;ALPROSTADIL 20MCG/ML SOLUCION INYECTABLE;2,80;7,80;15,00;29,00;Cadena de Frio
MK0306;PROPRANOLOL 40MG TABLETA;9,50;7,70;8,40;119,00;Carga Seca
CR0014;CIPROFLOXACINO 100MG/10ML (10MG/ML) SOLUCION INYECTABLE;9,5;7,70;20;711,00;Carga Seca
MK0277;PREDNISONA 50MG TABLETA;8,00;7,7;8,00;102,00;Carga Seca
LC0017;DIFENHIDRAMINA 10MG/ML SOLUCION INYECTABLE;6,00;7,7;7,3;95,00;Carga Seca
PX0031;FILGRASTIM 300MCG/ML SOLUCION INYECTABLE;2,7;7,6;15,7;46,00;Cadena de Frio
CR0026;FOSFATO SODIO MONOBASICO + FOSFATO SODIO DIBASICO (2G+2G) /10ML (0,2G+0,2G) /ML SOLUCION INYECTABLE;9,50;7,50;20,00;830,00;Carga Seca
TK0018;IXAZOMIB 4MG CAPSULA DURA;9,00;7,50;10;89,00;Comerciales
TE0157;CILOSTAZOL 50MG TABLETA;7,80;7,50;7,90;94,00;Carga Seca
MK0301;GLIBENCLAMIDA 5MG TABLETA;7,80;7,50;7,90;88,00;Carga Seca
CR0062;ONDANSETRON 8MG/4ML (2MG/ML) SOLUCION INYECTABLE;7,50;7,50;7,50;184,00;Carga Seca
AMG016;ROMOSOZUMAB 105MG/1,17ML (90MG/ML) SOLUCION INYECTABLE;3,90;7,50;16,70;63,00;Cadena de Frio
NO0143;RANIBIZUMAB 1,65MG/0,165ML (10MG/ML) SOLUCION INYECTABLE;3,30;7,50;14,40;39,00;Cadena de Frio
RM0022;ACIDO LACTICO + UREA (8%+5%) LOCION TOPICA;21,00;7,50;5,00;29,20;Carga Seca
MK0188;LOPERAMIDA 2MG TABLETA;10,00;7,50;7,50;89,00;Carga Seca
CR0050;POTASIO CLORURO 20MEQ/10ML (2MEQ/ML) SOLUCION INYECTABLE;9,8;7,5;10,5;362,00;Carga Seca
TE0007;CARBONATO DE CALCIO + VITAMINA D3 500MG+200UI POLVO A SOLUCION ORAL;9,00;7,5;9,5;176,00;Carga Seca
EC0070;SULFATO FERROSO 300MG TABLETA RECUBIERTA;9,00;7,5;14;286,00;Carga Seca
AMA018;SOLUCION HIPERTONICA ESTERIL SOLUCION PARA INHALACION;9,00;7,5;14;257,00;Comerciales
EC0062;ATORVASTATINA 40MG TABLETA RECUBIERTA;8,5;7,5;14;257,00;Carga Seca
EC0074;DICLOFENACO 50MG GRAGEA;8,3;7,5;14,5;139,00;Carga Seca
LG0126;PRAMIPEXOL 3MG TABLETA DE LIBERACION PROLONGADA;7,3;7,5;13;32,00;Comerciales
BL0050;HIDROXICINA 100MG/2ML (50MG/ML) SOLUCION INYECTABLE;7,00;7,5;2,00;26,00;Carga Seca
SVP061;COLISTIMETATO SODICO 150MG (384MG) POLVO LIOFILIZADO A SOLUCION INYECTABLE;6,50;7,5;16,00;165,00;Comerciales
LG0008;GABAPENTIN 600MG TABLETA;6,5;7,5;8,3;107,00;Carga Seca
NO0148;RUXOLITINIB 15MG COMPRIMIDO;6,5;7,5;11,00;84,00;Comerciales
TE0049;CIPROHEPTADINA 4MG TABLETA;4,00;7,5;2,00;10,00;Carga Seca
LB0021;MESALAZINA 4G/60ML SUSPENSION RECTAL;18,5;7,5;15;600,00;Carga Seca
EF0013;LEVETIRACETAM 100MG/ML SOLUCION ORAL;17,5;7,5;7,5;390,00;Carga Seca
ABV004;SEVOFLURANO (100%) SOLUCION PARA INHALACION;17,00;7,5;7,5;446,00;Comerciales
LQ0006;ALBENDAZOL 400MG/20ML SUSPENSION ORAL;14,00;7,5;25;1,212,00;Carga Seca
OPE009;IBUPROFENO + HIOSCINA N-BUTIL BROMURO 400MG+20MG COMPRIMIDO RECUBIERTO;11,2;7,5;10,00;118,00;Carga Seca
WT0114;GEMFIBROZILO 600MG TABLETA RECUBIERTA;7,00;7,30;47,00;10,10;Carga Seca
HU0078;LACTULOSA 66,7G/100ML SOLUCION ORAL;10,00;7,3;9,5;285,00;Carga Seca
CO0010;POLIVITAMINAS Y MINERALES CAPSULA BLANDA;9,60;7,20;9,10;118,00;Carga Seca
LL0014;TERIPARATIDA 600MCG/2,4ML (250MCG/ML) SOLUCION INYECTABLE;9,50;7,20;20,40;195,00;Cadena de Frio
GF0162;PAMOATO PIRANTEL 250MG TABLETA;8,20;7,20;8,20;86,00;Carga Seca
NV0105;METILSULFONILMETANO + GLUCOSAMINA + CONDROITINA 2.400MG+1.500MG+1.200MG POLVO A SOLUCION ORAL;8,00;7,20;8;156,00;Carga Seca
LL0054;GALCANEZUMAB 120MG/ML SOLUCION INYECTABLE;5,00;7,20;21,20;104,00;Cadena de Frio
EC0128;LOSARTAN 100MG COMPRIMIDO RECUBIERTO;8,3;7,2;12,2;190,00;Carga Seca
GD0017;AMOROLFINA 5G/100ML (5%) LACA PARA UÑAS SOLUCION TOPICA;8,2;7,2;11,2;102,00;Carga Seca
LP0087;ALBENDAZOL 400MG/20ML SUSPENSION ORAL;6,00;7,2;12,00;317,00;Carga Seca
SZ0053;TACROLIMUS 1MG CAPSULA;14,00;7,2;11;71,00;Comerciales
SG0081;ACETAMINOFEN + CODEINA 325MG+30MG TABLETA;11,00;7,2;6,00;81,00;Carga Seca
FCH005;ESOMEPRAZOL 20MG CAPSULA;9,80;7,10;14,30;159,00;Carga Seca
BT0157;MESALAZINA 3.000MG GRANULADO A SOLUCION ORAL;9,80;7,00;10,00;210,00;Comerciales
SG0160;ACETAMINOFEN + TIZANIDINA 350MG+2MG TABLETA RECUBIERTA;7,00;7,00;10,5;110,00;Carga Seca
PX0240;HIOSCINA N-BUTIL BROMURO 20MG/ML SOLUCION INYECTABLE;7,00;7,00;2,5;37,00;Carga Seca
PF0137;AVIBACTAM + CEFTAZIDIMA 0,5G+2G POLVO A SOLUCION INYECTABLE;7,00;7,00;16,00;392,00;Comerciales
ADC005;CEFEPIMA 1G POLVO A SOLUCION INYECTABLE;7,00;7,00;17,00;361,00;Carga Seca
DB0025;AGUJA LAPICERO 31G 5/32 X 5MM;7,00;7,00;13,00;113,00;Carga Seca
AT0090;ACALABRUTINIB 100MG (129MG) TABLETA RECUBIERTA;7,00;7,00;15,00;66,00;Comerciales
QF0026;ZINC OXIDO 25G/100G (25%) CREMA TOPICA;6,50;7,00;7,00;143,00;Carga Seca
NO0157;VALSARTAN + SACUBITRILO 102,8MG+97,0MG (200MG) COMPRIMIDO RECUBIERTO;6,00;7,00;15,00;66,00;Comerciales
AT0061;MEROPENEM 500MG POLVO A SOLUCION INYECTABLE;6,00;7,00;15,00;241,00;Comerciales
GE0009;SALICILATO DE METILO 7G/100G CREMA TOPICA;5,5;7,00;7,00;100,00;Carga Seca
PF0085;APIXABAN 5MG TABLETA RECUBIERTA;5,00;7,00;13,00;49,00;Comerciales
AB0202;APME LIQUIDO FÓRMULA OLIGOMÉRICO PARA ADULTOS BOTELLA LPC X 1.000ML;23,00;7,00;9,50;1.177,00;Carga Seca
QB0008;ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION 75MEQ SOLUCION ORAL;21,5;7,00;7,00;568,00;Carga Seca
GR0011;LEVETIRACETAM 100MG/ML SOLUCION ORAL;17,00;7,00;9,00;558,00;Comerciales
AB0046;SEVOFLURANO (100%) SOLUCION PARA INHALACION;17,00;7,00;7,00;446,00;Comerciales
BP0085;BRIVARACETAM 100MG/ML SOLUCION ORAL;16,50;7,00;8,50;565,00;Comerciales
TE0040;SUPLEMENTO MULTIVITAMINICO HIERRO + VITAMINAS DEL COMPLEJO SOLUCION ORAL;16,00;7,00;7,00;560,00;Carga Seca
TE0043;SUPLEMENTO MULTIVITAMINICO HIERRO + COMPLEJO + NICOTINAMIDA SOLUCION ORAL;16,00;7,00;7,00;589,00;Carga Seca
AUL001;MEDROXIPROGESTERONA + ESTRADIOL (25MG+5MG) /0,5ML SUSPENSION INYECTABLE;15,00;7,00;8,00;145,00;Comerciales
NO0048;CARBAMAZEPINA 2G/100ML (2%) SUSPENSION ORAL;15,00;7,00;7,00;230,00;Carga Seca
AT0073;OLAPARIB 100MG TABLETA RECUBIERTA;15,00;7,00;15,00;173,00;Comerciales
AT0076;OLAPARIB 150MG TABLETA RECUBIERTA;15,00;7,00;15,00;197,00;Comerciales
NO0039;OXCARBAZEPINA 300MG/5ML SUSPENSION ORAL;14,5;7,00;7,00;242,00;Carga Seca
AV0002;NITROFURAZONA 0,2G/100G (0,2%) POMADA TOPICA;14,00;7,00;7,00;633,00;Carga Seca
PF0104;DESVENLAFAXINA 100MG TABLETA DE LIBERACION PROLONGADA;13,40;7,00;4,00;17,00;Carga Seca
FR0108;METFORMINA + SITAGLIPTINA 1.000MG+50MG TABLETA RECUBIERTA DE LIBERACION PROLONGADA;12,5;7,00;5,00;150,00;Carga Seca
GLM006;FLUTICASONA + SALMETEROL (250MCG+25MCG) /DOSIS SUSPENSION PARA INHALACION;11,5;7,00;10,5;128,00;Carga Seca
BPF006;FIBRINOGENO HUMANO 1G POLVO LIOFILIZADO A SOLUCION INYECTABLE;11,5;7,00;13,00;257,00;Comerciales
GLM002;FLUTICASONA + SALMETEROL (125MCG+25MCG) /DOSIS SUSPENSION PARA INHALACION;11,3;7,00;10,5;127,00;Carga Seca
GLM001;BUDESONIDA + FORMOTEROL (200MCG+6MCG) /DOSIS SUSPENSION PARA INHALACION;11,3;7,00;10,7;127,00;Carga Seca
GLM010;FLUTICASONA + SALMETEROL (50MCG+25MCG) /DOSIS SUSPENSION PARA INHALACION;11,00;7,00;10,5;127,00;Carga Seca
ABV002;VENETOCLAX 100MG TABLETA RECUBIERTA;11,00;7,00;6,5;192,00;Comerciales
GLM005;BUDESONIDA + FORMOTEROL (100MCG+6MCG) /DOSIS SUSPENSION PARA INHALACION;11,00;7,00;10,5;129,00;Carga Seca
SG0043;ACETAMINOFEN + CODEINA 325MG+15MG TABLETA;10,7;7,00;6;80,00;Carga Seca
AP0003;HIDROXIUREA 500MG CAPSULA;10,00;7,00;9,00;112,00;Comerciales
NO0111;NILOTINIB 200MG CAPSULA;10,00;7,00;17,00;188,00;Comerciales
TE0280;MAGALDRATO + SODIO ALGINATO + BICARBONATO + SIMETICONA (8G+5G+2,67G+1,2G) /100ML SUSPENSION ORAL;15;7,00;7,00;354,00;Carga Seca
AT0029;MEROPENEM 1G POLVO A SOLUCION INYECTABLE;8,50;6,90;16,80;324,00;Comerciales
